times_cited,number_of_authored_works,label,id
18,1,"Tosatti, V",0
18,1,"Schwartz, N",1
54,3,"Mandelbrot, Bb",2
6,1,"Brockman, Jb",3
110,2,"Wuchty, S",4
47,3,"Colizza, V",5
18,1,"Lomdahl, Ps",6
0,1,"Palla, G",7
12,1,"De Los Rios, P",8
326,6,"Buldyrev, Sv",9
122,1,"Gelfand, Ms",10
99,3,"Grasso, Jr",11
42,1,"Zhang, Yc",12
181,2,"Schubert, A",13
107,2,"Alippi, A",14
80,3,"Tegzes, P",15
18,1,"Bishop, Ar",16
85,2,"Dobrin, R",17
145,4,"Moreno, Y",18
53,1,"Hornbaker, D",19
122,1,"Daugherty, Md",20
53,1,"Leone, M",21
106,1,"Petak, F",22
59,1,"Bonabeau, E",23
51,5,"Cafiero, R",24
69,3,"Sample, Jg",25
13,1,"Deangelis, R",26
57,2,"Brechet, Y",27
237,6,"Derenyi, I",28
103,2,"Maritan, A",29
19,1,"Carle, N",30
122,1,"Gerdes, Sy",31
1197,33,"Zapperi, S",32
53,2,"Makse, Ha",33
6,1,"Yang, I",34
4,1,"Ivashkevich, Ev",35
54,3,"Lee, S",36
2,1,"Distasio, M",37
745,1,"Mason, Sp",38
135,2,"Almaas, E",39
10,3,"Dall'asta, L",40
49,1,"Pfeifer, Ma",41
41,1,"Beg, Qk",42
7,1,"Cecconi, F",43
169,5,"Larralde, H",44
122,1,"Grechkin, Y",45
69,2,"Marsili, M",46
18,1,"Cohen, R",47
0,1,"Zaratti, F",48
6,1,"Freeh, Vw",49
13496,127,"Barabasi, Al",50
480,13,"Barrat, A",51
97,1,"Janko, B",52
47,3,"Farkas, I",53
12,1,"Mantegna, R",54
205,6,"Amaral, Lan",55
122,1,"Bhattacharya, A",56
99,3,"Weiss, J",57
42,1,"Bourbonnais, R",58
8,1,"Kim, J",59
107,2,"Paparo, G",60
26,1,"Szathmary, E",61
392,7,"Daruka, I",62
44,1,"Sergi, D",63
9,1,"Nekovee, M",64
85,1,"Hornbaker, Dj",65
122,1,"Somera, Al",66
367,6,"Dickman, R",67
27,1,"Xenias, Hs",68
253,4,"Neda, Z",69
2,1,"Piccioni, M",70
18,1,"Morss, Aj",71
32,1,"Pfeifer, M",72
10,1,"Eisler, Z",73
1769,24,"Pastor-satorras, R",74
187,4,"Suki, B",75
122,1,"Scholle, Md",76
116,4,"Miguel, Mc",77
11,1,"Grinstein, G",78
4160,17,"Jeong, H",79
4,1,"Povolotsky, Am",80
0,1,"Kwak, Cy",81
2,1,"Stella, A",82
112,2,"Lee, Cs",83
20,2,"Oliveira, Jg",84
8,2,"Alvarez-hamelin, I",85
27,1,"Czirok, A",86
121,1,"Kovacs, B",87
111,4,"Castellano, C",88
2,1,"Molinasmata, P",89
122,1,"Mseeh, F",90
76,1,"Rossi, M",91
18,1,"Ben-avraham, D",92
0,1,"Ruiz, I",93
64,1,"Farkas, Ij",94
2961,17,"Oltvai, Zn",95
454,9,"Barthelemy, M",96
54,2,"Merz, Jl",97
59,3,"De Menezes, Ma",98
12,1,"Mendes, Jff",99
30,2,"Harrington, St",100
122,1,"Kapatral, V",101
398,18,"Pietronero, L",102
42,1,"Jensen, M",103
92,2,"Jeong, Hw",104
16,1,"Woog, L",105
26,1,"Podani, J",106
18,1,"Zhou, Sj",107
44,1,"Eckmann, Jp",108
50,6,"Caldarelli, G",109
1,1,"Kaxiras, E",110
122,1,"Kyrpides, Nc",111
26,1,"Alava, M",112
213,1,"Caserta, F",113
267,2,"Cuerno, R",114
107,2,"Costantini, M",115
18,1,"Rajagopalan, S",116
29,1,"Paskvan, M",117
82,4,"Kertesz, J",118
2,1,"Borner, K",119
8,1,"Frey, U",120
122,1,"Campbell, Jw",121
17,1,"Zaiser, M",122
46,1,"Lutchen, Kr",123
241,11,"Kahng, B",124
28,2,"Marinari, E",125
298,9,"Schiffer, P",126
1,1,"Sidoretti, S",127
16,1,"Albet, R",128
620,10,"Vazquez, A",129
2,1,"Dujon, B",130
79,2,"Lee, C",131
75,2,"Dezso, Z",132
35,2,"Vilone, D",133
302,7,"Munoz, Ma",134
122,1,"Fonstein, My",135
75,4,"Chessa, A",136
7741,17,"Albert, R",137
20,1,"Lam, Ch",138
97,1,"Tu, Y",139
173,4,"Balazsi, G",140
126,4,"Flammini, A",141
54,2,"Kim, Cs",142
3,1,"Brockman, J",143
124,3,"Boguna, M",144
30,2,"Sadrlahijany, R",145
122,1,"D'souza, M",146
18,1,"Tosatti, E",147
49,1,"Szepfalusy, P",148
486,11,"Havlin, S",149
54,3,"Kaufman, H",150
965,2,"Tombor, B",151
7,1,"Ferdig, Mt",152
3811,101,"Vespignani, A",153
18,1,"Germann, Tc",154
1050,20,"Vicsek, T",155
97,3,"Erzan, A",156
994,22,"Stanley, He",157
122,1,"Anderson, I",158
26,1,"Peltola, J",159
13,1,"Araujo, M",160
19,1,"Meda, Z",161
107,2,"Petri, A",162
6,1,"Albert, L",163
85,1,"Park, S",164
287,4,"Yook, Sh",165
2,1,"Ke, Wm",166
8,1,"Silverman, M",167
626,7,"Ravasz, E",168
53,1,"Zecchina, R",169
106,1,"Hantos, Z",170
22,1,"Kay, Ka",171
87,8,"Loreto, V",172
207,5,"Albert, I",173
13,1,"Wiesmann, Hj",174
16,1,"Jeong, N",175
198,8,"Makeev, Ma",176
3,2,"Vergassola, M",177
19,1,"Dougherty, A",178
122,1,"Osterman, Al",179
3,1,"Percacci, R",180
2,1,"Martinez, Do",181
122,1,"Overbeek, R",182
150,4,"Ray, P",183
54,3,"Furdyna, Jk",184
20,1,"Yekutieli, I",185
190,2,"Bianconi, G",186
14,1,"Macdonald, Pj",187
16,1,"Serrano, Ma",188
95,1,"Tersoff, J",189
3,1,"Balensiefer, S",190
7,1,"Bagnoli, F",191
169,5,"Jensen, P",192
122,1,"Baev, Mv",193
